module,n_emulators,n_frames,time,effective_fps
vec2,8192,1800,29.88923646800049,493341.4748077184
vec2,16384,1800,58.46400045599967,504433.49360253307
vec2,16384,1800,58.96704482600035,500130.20131876174
vec2,16384,1800,59.437488764999216,496171.7026202224
vec2,16384,1800,58.09477088699987,507639.4923282051
vec2,16384,1800,57.55748028800008,512378.2322025743
vec2,32768,1800,118.69605619899994,496919.6272293413
vec2,32768,1800,122.10087630100044,483062.8721664361
vec2,32768,1800,124.6934359099996,473019.2858152688
vec2,32768,1800,121.75359325999943,484440.7332935602
vec2,32768,1800,120.21633214200028,490635.4980979591
pytorch_cpu,1,1800,6.327363807000438,284.4786636116173
pytorch_cpu,1,1800,6.361462331999974,282.95380936950386
pytorch_cpu,1,1800,6.398904994000077,281.2981286154064
pytorch_cpu,1,1800,6.324833118999777,284.59248902438327
pytorch_cpu,1,1800,6.306738774999758,285.4089988847
pytorch_cpu,2,1800,7.889830864000032,456.283545497305
pytorch_cpu,2,1800,7.917179172000033,454.7074054774196
pytorch_cpu,2,1800,7.899966676999611,455.6981247125047
pytorch_cpu,2,1800,7.749587428000268,464.5408589098216
pytorch_cpu,2,1800,7.742130872999951,464.9882647366122
pytorch_cpu,4,1800,9.417779243999576,764.5114430333874
pytorch_cpu,4,1800,9.385672516999875,767.1267015718844
pytorch_cpu,4,1800,9.571849337999993,752.205738489446
pytorch_cpu,4,1800,9.602952050999193,749.7694419135245
pytorch_cpu,4,1800,9.57528149599966,751.9361183280093
pytorch_cpu,8,1800,12.20299273299952,1180.0383983724994
pytorch_cpu,8,1800,12.325647857999684,1168.295587047297
pytorch_cpu,8,1800,12.23389709300045,1177.057473226489
pytorch_cpu,8,1800,12.218854307000584,1178.5065635613453
pytorch_cpu,8,1800,12.283723099999406,1172.2830189814924
pytorch_cpu,16,1800,14.255852660000528,2020.2228998064668
pytorch_cpu,16,1800,14.13923423899996,2036.885414951366
pytorch_cpu,16,1800,14.442951496000203,1994.0522550377464
pytorch_cpu,16,1800,14.17231941099999,2032.1303214240704
pytorch_cpu,16,1800,14.20862174100057,2026.9383283597715
pytorch_cpu,32,1800,20.7605916600005,2774.4874010974413
pytorch_cpu,32,1800,19.91918960699968,2891.683905642384
pytorch_cpu,32,1800,19.906113869000365,2893.5833673542897
pytorch_cpu,32,1800,18.743816305999644,3073.0134706646168
pytorch_cpu,32,1800,18.92476411700045,3043.6310668864244
pytorch_cpu,64,1800,21.38420292399951,5387.154265671083
pytorch_cpu,64,1800,20.724358802000097,5558.676198410641
pytorch_cpu,64,1800,20.61437857000056,5588.3324160761695
